0,1,2,3,4,5,6
Ekmek,Kola,Yumurta,Kiyma,Peynir,Kalem,Bebek Bezi
Ekmek,Peynir,Kiyma,Bebek Bezi,Kola,Sut,Kalem
Peynir,Kiyma,Yumurta,Sut,Kola,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kiyma,Kalem,Kola,,,,
Yumurta,Ekmek,Kola,Kalem,Sut,Bebek Bezi,Makarna
Kola,Kalem,Yumurta,Peynir,,,
Makarna,Ekmek,Sut,Kalem,Bebek Bezi,,
Ekmek,Bebek Bezi,Peynir,Sut,Kola,Yumurta,
Makarna,Kola,Bebek Bezi,Kiyma,Kalem,Yumurta,Peynir
Peynir,Kiyma,Yumurta,Sut,Kola,,
Makarna,Yumurta,Kiyma,Ekmek,Bebek Bezi,Kola,Sut
Ekmek,Bebek Bezi,Kalem,Makarna,Kiyma,,
Makarna,Peynir,Sut,Kiyma,,,
Ekmek,,,,,,
Kalem,Bebek Bezi,Makarna,,,,
Kiyma,Makarna,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,,,,,,
Makarna,Peynir,Kiyma,Ekmek,Bebek Bezi,Yumurta,
Kiyma,Kalem,Peynir,Ekmek,,,
Peynir,Yumurta,Kola,Ekmek,Sut,Kalem,Kiyma
Yumurta,Makarna,Peynir,Kiyma,Bebek Bezi,,
Bebek Bezi,Kola,Yumurta,Kalem,Kiyma,,
Bebek Bezi,Kiyma,Sut,Ekmek,Makarna,Peynir,
Kalem,,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Bebek Bezi,Kiyma,Ekmek,Kalem,Kola,Peynir,Sut
Ekmek,Makarna,,,,,
Kiyma,Ekmek,Yumurta,Peynir,Sut,Bebek Bezi,
Bebek Bezi,Kiyma,,,,,
Peynir,Makarna,Ekmek,Bebek Bezi,Kola,,
Peynir,Sut,Ekmek,,,,
Ekmek,Makarna,Sut,,,,
Bebek Bezi,Ekmek,Kola,Kiyma,Makarna,,
Ekmek,Peynir,Sut,Kola,Bebek Bezi,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Yumurta,,,,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Makarna,Sut,,,,
Kiyma,,,,,,
Yumurta,Kola,Sut,Peynir,Kalem,Makarna,Ekmek
Makarna,Yumurta,,,,,
Bebek Bezi,Kola,Kiyma,,,,
Bebek Bezi,Ekmek,Makarna,Yumurta,Kola,Sut,Peynir
Peynir,Kiyma,Yumurta,Sut,,,
Yumurta,Kola,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Sut,,,,,
Bebek Bezi,,,,,,
Kola,Ekmek,Makarna,Bebek Bezi,Sut,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Bebek Bezi,Kiyma,Kola,Ekmek,,
Kola,Sut,Bebek Bezi,Kalem,Peynir,Yumurta,
Peynir,Yumurta,Kiyma,Bebek Bezi,Kola,Sut,Ekmek
Bebek Bezi,Yumurta,,,,,
Peynir,Kiyma,Yumurta,Sut,Kola,,
Kola,Peynir,Makarna,Kalem,Ekmek,Kiyma,Bebek Bezi
Sut,Kalem,Peynir,Makarna,,,
Kiyma,Peynir,Bebek Bezi,Kola,,,
Ekmek,Makarna,Sut,,,,
Ekmek,Kiyma,Kalem,Sut,Kola,Bebek Bezi,
Kalem,Peynir,Bebek Bezi,Kola,Yumurta,,
Ekmek,Bebek Bezi,Sut,Kalem,Peynir,Yumurta,
Kalem,Sut,Peynir,,,,
Yumurta,Makarna,Ekmek,,,,
Bebek Bezi,Ekmek,Peynir,Makarna,Kiyma,Kalem,
Ekmek,Makarna,Sut,Bebek Bezi,,,
Yumurta,Ekmek,,,,,
Kalem,Sut,Bebek Bezi,Yumurta,,,
Kalem,Sut,Kiyma,Peynir,,,
Makarna,Ekmek,Bebek Bezi,Peynir,Kiyma,,
Peynir,Kiyma,Yumurta,Sut,,,
Peynir,Kiyma,Yumurta,Sut,,,
Ekmek,Kola,Yumurta,Makarna,Peynir,Kalem,Bebek Bezi
Bebek Bezi,,,,,,
Peynir,Kiyma,Yumurta,Sut,,,
Sut,,,,,,
Ekmek,Kalem,,,,,
Kola,Sut,Peynir,,,,
Peynir,Makarna,,,,,
Kalem,Bebek Bezi,Kola,,,,
Yumurta,Kiyma,Peynir,,,,
